virus,abbrv,family,enveloped,vector,chronic,plant,contact,emerging,fecaloral,protein,short,exposed,polymerase,protease,structural
VEEV,VEEV,Togaviridae,T,T,F,F,F,T,F,nsp1,nsp1,F,F,F,F
VEEV,VEEV,Togaviridae,T,T,F,F,F,T,F,nsp2,nsp2,F,F,T,F
VEEV,VEEV,Togaviridae,T,T,F,F,F,T,F,nsp3,nsp3,F,F,F,F
VEEV,VEEV,Togaviridae,T,T,F,F,F,T,F,nsp4,RdRp,F,T,F,F
wnv,WNV,Flaviviridae,T,T,F,F,F,T,F,anchored capsid protein,CA,F,F,F,T
wnv,WNV,Flaviviridae,T,T,F,F,F,T,F,envelope protein,E,T,F,F,T
wnv,WNV,Flaviviridae,T,T,F,F,F,T,F,membrane protein,M,F,F,F,T
wnv,WNV,Flaviviridae,T,T,F,F,F,T,F,nonstructural protein 1,NS1,F,F,F,F
wnv,WNV,Flaviviridae,T,T,F,F,F,T,F,nonstructural protein 2A,NS2A,F,F,F,F
wnv,WNV,Flaviviridae,T,T,F,F,F,T,F,nonstructural protein 2B,NS2B,F,F,F,F
wnv,WNV,Flaviviridae,T,T,F,F,F,T,F,nonstructural protein 3,NS3,F,F,T,F
wnv,WNV,Flaviviridae,T,T,F,F,F,T,F,nonstructural protein 4A,NS4A,F,F,F,F
wnv,WNV,Flaviviridae,T,T,F,F,F,T,F,nonstructural protein 4B,NS4B,F,F,F,F
wnv,WNV,Flaviviridae,T,T,F,F,F,T,F,nonstructural protein 5,RdRp,F,T,F,F
wnv,WNV,Flaviviridae,T,T,F,F,F,T,F,pre-membrane protein,pr,F,F,F,T
YFV,YFV,Flaviviridae,T,T,F,F,F,F,F,anchored core protein C,CA,F,F,F,T
YFV,YFV,Flaviviridae,T,T,F,F,F,F,F,envelope protein,E,T,F,F,T
YFV,YFV,Flaviviridae,T,T,F,F,F,F,F,M protein precursor,prM,F,F,F,T
YFV,YFV,Flaviviridae,T,T,F,F,F,F,F,non-structural protein NS1,NS1,F,F,F,F
YFV,YFV,Flaviviridae,T,T,F,F,F,F,F,non-structural protein NS2a,NS2a,F,F,F,F
YFV,YFV,Flaviviridae,T,T,F,F,F,F,F,non-structural protein NS2b,NS2b,F,F,F,F
YFV,YFV,Flaviviridae,T,T,F,F,F,F,F,non-structural protein NS3,NS3,F,F,T,F
YFV,YFV,Flaviviridae,T,T,F,F,F,F,F,non-structural protein NS4a,NS4a,F,F,F,F
YFV,YFV,Flaviviridae,T,T,F,F,F,F,F,non-structural protein NS4b,NS4b,F,F,F,F
YFV,YFV,Flaviviridae,T,T,F,F,F,F,F,RNA-dependent RNA polymerase,RdRp,F,T,F,F
zika,ZIKV,Flaviviridae,T,T,F,F,F,T,F,anchored capsid protein C,CA,F,F,F,T
zika,ZIKV,Flaviviridae,T,T,F,F,F,T,F,envelope protein E,E,T,F,F,T
zika,ZIKV,Flaviviridae,T,T,F,F,F,T,F,membrane glycoprotein precursor M,prM,F,F,F,T
zika,ZIKV,Flaviviridae,T,T,F,F,F,T,F,nonstructural protein NS1,NS1,F,F,F,F
zika,ZIKV,Flaviviridae,T,T,F,F,F,T,F,nonstructural protein NS2A,NS2A,F,F,F,F
zika,ZIKV,Flaviviridae,T,T,F,F,F,T,F,nonstructural protein NS2B,NS2B,F,F,F,F
zika,ZIKV,Flaviviridae,T,T,F,F,F,T,F,nonstructural protein NS3,NS3,F,F,T,F
zika,ZIKV,Flaviviridae,T,T,F,F,F,T,F,nonstructural protein NS4A,NS4A,F,F,F,F
zika,ZIKV,Flaviviridae,T,T,F,F,F,T,F,nonstructural protein NS4B,NS4B,F,F,F,F
zika,ZIKV,Flaviviridae,T,T,F,F,F,T,F,RNA-dependent RNA polymerase NS5,RdRp,F,T,F,F
